ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,Lat,Lon
electrified,Already Electrified,0.0,0.0,17,1346.485,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,11.628546908715837,3.4956274073602427
unelectrified,SHS,6300.0,0.6265136872999727,42,4158.2625,0.0,Phase 1 (→2030),2030.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,7.3771393325960135,2.1697753242217095
unelectrified,SHS,11550.0,36.140102215207065,77,96.793,0.011312200331365102,Phase 3 (→2040),2040.0,N/A,35.69815276578681,36.140102215207065,inf,inf,6.524082889587977,1.9325910152253634
electrified,Already Electrified,0.0,0.0,415,42896.625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.563093902021976,1.5586842821886384
electrified,Already Electrified,0.0,0.0,109,11779.4625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.62421124874698,1.9440511093943416
unelectrified,SHS,2400.0,0.6265136872999727,16,1584.1,0.023330673729702194,Phase 3 (→2040),2040.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,10.172764228589013,2.926753243913305
electrified,Already Electrified,0.0,0.0,41,4256.8125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.796801416355878,1.394359775879793
electrified,Already Electrified,0.0,0.0,39,4849.025,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.733788767240612,2.5937559977966984
electrified,Already Electrified,0.0,0.0,28,2772.175,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.291833642465008,1.0263993419350763
unelectrified,SHS,3450.0,7.168070765766063,23,145.77,0.004142742117788521,Phase 3 (→2040),2040.0,N/A,7.154017780811205,7.168070765766063,inf,inf,10.175550030034149,2.8328698353886947
electrified,Already Electrified,0.0,0.0,21,2079.13125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.677054107867888,2.5844407017596938
unelectrified,SHS,3750.0,0.6265136872999727,25,1980.125,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,8.977838544199697,2.6940653737666884
electrified,Already Electrified,0.0,0.0,14,1386.0875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.854968041899243,1.4537420070645999
electrified,Already Electrified,0.0,0.0,33,3267.20625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,11.626510082909178,2.566676962891808
unelectrified,SHS,1950.0,0.6265136872999727,13,1029.665,0.005007349613846688,Phase 3 (→2040),2040.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,9.925461153226491,3.535980901721476
unelectrified,SHS,1200.0,0.6265136872999727,8,792.05,0.0036897382207306717,Phase 3 (→2040),2040.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,11.517475407782582,2.4157308155999653
unelectrified,Mini-Grid: Solar PV Only,51154.36083333333,0.4582964967138833,104,10296.65,0.0,Phase 1 (→2030),2030.0,N/A,0.5385719159573886,0.6265136872999727,0.4582964967138833,inf,10.393771731755354,3.307136961530691
unelectrified,SHS,1800.0,0.6265136872999727,12,1188.075,0.01848481230321888,Phase 3 (→2040),2040.0,N/A,0.5458284845860681,0.6265136872999727,inf,inf,10.858445164876537,2.780824084734482
unelectrified,SHS,2850.0,0.6265136872999727,19,1881.11875,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,10.742607179298476,2.756629687020131
electrified,Already Electrified,0.0,0.0,26,2574.1625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.629544640664873,1.9463460222560114
electrified,Already Electrified,0.0,0.0,32,3168.2,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.65372862978657,1.0382747771250445
electrified,Already Electrified,0.0,0.0,20,2544.78,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.242981493620453,2.5742261541866633
unelectrified,SHS,2250.0,0.6265136872999727,15,1485.09375,0.00248439571924515,Phase 3 (→2040),2040.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,9.935181288478052,3.418559134969444
unelectrified,SHS,14250.0,7.629690116553339,95,565.665,0.0,Phase 2 (→2035),2035.0,N/A,7.520274753614304,7.629690116553339,inf,inf,9.44007534442961,2.8900634046258844
unelectrified,SHS,1800.0,0.6265136872999727,12,1188.075,0.0037530001412262254,Phase 3 (→2040),2040.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,11.222099994425372,2.4937048627374114
unelectrified,SHS,7800.0,0.6265136872999727,52,5148.325,0.0,Phase 1 (→2030),2030.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,10.482932618152342,0.8574190662726892
electrified,Already Electrified,0.0,0.0,23,2474.7,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.5995375901753,1.7561031300396983
unelectrified,SHS,7050.0,8.323867419615738,47,256.5165,0.01726801387121142,Phase 3 (→2040),2040.0,N/A,8.619528330971116,8.323867419615738,inf,inf,9.571833314215963,2.992499362338726
electrified,Already Electrified,0.0,0.0,146,14454.9125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,11.63777757650122,3.4567263071082115
unelectrified,SHS,2100.0,0.6265136872999727,14,1386.0875,0.023637952135186123,Phase 3 (→2040),2040.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,10.381618979293316,1.7962183276973431
electrified,Already Electrified,0.0,0.0,26,2059.33,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.697532841548875,2.696942097293307
electrified,Already Electrified,0.0,0.0,24,2376.15,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.307360442518387,1.0971098627108493
unelectrified,SHS,3300.0,0.6265136872999727,22,1742.51,0.0,Phase 2 (→2035),2035.0,N/A,0.6794355884112782,0.6265136872999727,inf,inf,9.254305237037872,1.475437203894228
electrified,Already Electrified,0.0,0.0,21,2079.13125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.6758956809309025,2.0373263920825107
electrified,Already Electrified,0.0,0.0,165,16928.7,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.029383011808623,1.729152465412227
electrified,Already Electrified,0.0,0.0,31,3069.19375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.243539471569765,2.009228372797443
unelectrified,SHS,3600.0,0.6265136872999727,24,2376.15,0.0,Phase 2 (→2035),2035.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,11.117293311430931,2.381328659898924
electrified,Already Electrified,0.0,0.0,129,14762.88125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.650925588104354,2.02150570741579
unelectrified,SHS,3300.0,0.6265136872999727,22,1742.51,0.0,Phase 2 (→2035),2035.0,N/A,0.6794355884112782,0.6265136872999727,inf,inf,9.583677906606784,3.021177531655637
unelectrified,SHS,2550.0,0.6265136872999727,17,1346.485,0.013749733399370736,Phase 3 (→2040),2040.0,N/A,0.6700835724535691,0.6265136872999727,inf,inf,11.620738826144203,2.4550633040452117
electrified,Already Electrified,0.0,0.0,21,2474.24375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.609328343923753,1.6182203547219787
unelectrified,SHS,5700.0,0.6265136872999727,38,3762.2375,0.0,Phase 2 (→2035),2035.0,N/A,0.5385719159573887,0.6265136872999727,inf,inf,9.723753737285593,1.7975461589523616
electrified,Already Electrified,0.0,0.0,18,1782.1125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.107711394018946,1.3908048544840599
electrified,Already Electrified,0.0,0.0,107,11992.075,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.318538715969511,2.1676278800621698
electrified,Already Electrified,0.0,0.0,119,13395.135,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.208339405982533,2.401649334257169
unelectrified,SHS,10050.0,6.4336520870886895,67,473.1075,0.0,Phase 2 (→2035),2035.0,N/A,6.683022752390742,6.4336520870886895,inf,inf,6.445809160162931,2.0937332297821287
unelectrified,SHS,26700.0,9.62948418385688,178,839.7685,0.0,Phase 2 (→2035),2035.0,N/A,9.957118871018674,9.62948418385688,inf,inf,8.352241997726766,2.4117774441111974
unelectrified,SHS,3000.0,0.6265136872999727,20,1584.1,0.0,Phase 2 (→2035),2035.0,N/A,0.6700835724535692,0.6265136872999727,inf,inf,11.650698671901669,2.437194004299012
electrified,Already Electrified,0.0,0.0,30,2970.1875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.821298567403351,1.7680813474809145
unelectrified,SHS,57900.0,35.77663249504703,386,490.151625,0.0,Phase 1 (→2030),2030.0,N/A,35.3400512369622,35.77663249504703,inf,inf,10.793405873517726,3.536293605326433
electrified,Already Electrified,0.0,0.0,19,1881.11875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.383209975674362,1.4891433798725082
unelectrified,SHS,31650.0,32.74440133120119,211,292.744,0.0,Phase 2 (→2035),2035.0,N/A,31.972596489736603,32.74440133120119,inf,inf,7.095048452171043,1.9861136521757945
